Equipment,./south-yorkshire.csv,Category,Price per item (GBP),Number of items,Purchase date,Additional information
Equipment,./south-yorkshire.csv,Custodian style Police Helmet,33.70,127,2015-01-30,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Fleece,20.39,214,2015-01-30,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Trousers,7.83,4932,2013-08-09,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Shirt,4.05,450,2015-05-29,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Epaulettes,2.80,90,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Belt,3.80,230,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Anorak/ waterproof jacket,85.75,22,2015-01-30,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Hi Visibility jacket,62.75,88,2015-01-30,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Cut resistant gloves,12.95,155,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Boots,,,,Not bought.
Equipment,./south-yorkshire.csv,Utility belt,4.50,160,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,General Patrol full body armour,254.10,18,2015-04-22,Same price for male and female armours. Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,General Patrol body armour vest,60.20,845,2015-07-10,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Standard Issue Handcuffs,16.95,100,2015-06-26,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Baton,23.49,200,2015-03-05,Most recent order date for bulk purchase jointly with Humberside and West Yorkshire Police. All uniform items are ordered by the regional store for all three forces. 
Equipment,./south-yorkshire.csv,Airwave radio (hand held),350.00,300,2015-03-31,"Joint purchase with Humberside Police. Total cost per set Â£391 inc. battery, antenna and case."
Equipment,./south-yorkshire.csv,Airwave radio (vehicle),,,,Not purchased for over three years. Information is not available at this time.
Equipment,./south-yorkshire.csv,Fully kitted general purpose patrol vehicle - standard 5-door hatchback low performance car.,14595.40,10,2015-02-19,"Vauxhall Astra. Price for beat vehicles exc. VAT, plates, registration and delivery. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015."
Equipment,./south-yorkshire.csv,Compact High performance estate vehicle - fully converted,34724.21,1,2014-12-13,The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015.
Equipment,./south-yorkshire.csv,Fully kitted cell van,19867.83,1,2013-07-02,Vauxhall Vivaro. The Yorkshire and Humberside Police region is moving to the new vehicle purchase framework in 2015.
